Date,Open,High,Low,Close,Volume
2000-01-03,20.3752,20.5,19.8124,20.3124,14484000
2000-01-04,20.0624,20.25,18.6252,19.25,18216800
2000-01-05,19.25,19.4376,18.6876,18.6876,24022400
2000-01-06,20,20.75,19.6876,19.8124,26992000
2000-01-07,19.8752,20.8124,19.5,20.3124,17420000
2000-01-10,20.1876,20.3124,19.9376,20,15232800
2000-01-11,20,20.1876,19.6252,19.6876,19578400
2000-01-12,19.6876,19.75,19.5,19.5,16377600
2000-01-13,19.5,19.6876,19.0624,19.5,18737600
2000-01-14,19.4376,19.9376,19.3752,19.6876,9264800
2000-01-18,19.4376,19.5624,18.9376,19.0624,7888000
2000-01-19,19.3124,19.3752,18.3752,18.4376,14485600
2000-01-20,18.8752,19,18.1876,18.5,9239200
2000-01-21,18.25,18.3124,16.8752,17.25,43389600
2000-01-24,16.75,17.1876,16.5,16.6252,28382400
2000-01-25,16.6252,17.1876,16.5624,17,13167200
2000-01-26,16.8124,17.5,16.8124,17.3752,16465600
2000-01-27,17.3124,17.8124,16.8752,17.1252,12228800
2000-01-28,16.8752,16.9376,16.25,16.3124,13932000
2000-01-31,16.3752,16.5,16.0624,16.3124,11254400
2000-02-01,16.0624,16.6876,16.0624,16.6252,10495200
2000-02-02,16.6876,17.75,16.0624,17.5,11921600
2000-02-03,17.25,18.5624,17,18.1876,22321600
2000-02-04,18.1876,18.6252,17.25,18.3124,21488800
2000-02-07,17.8752,17.9376,16.9376,17.1876,17973600
2000-02-08,17.3752,17.75,17.3752,17.5624,13179200
2000-02-09,17.5,17.5,17,17.0624,9064800
2000-02-10,17,17.5,16.3752,17.25,9249600
2000-02-11,17.3752,17.3752,16.3752,16.75,9435200
2000-02-14,16.8124,16.8752,16.3124,16.6876,6545600
2000-02-15,16.6876,16.6876,16.1252,16.3124,9323200
2000-02-16,16.3752,16.3752,15.5,15.6252,13372000
2000-02-17,15.5624,16.1876,15,15.1876,15456000
2000-02-18,15.3752,15.6252,15,15.1252,13061600
2000-02-22,15.3752,15.3752,14.75,14.8752,8357600
2000-02-23,15,15.1876,14.6876,14.6876,6146400
2000-02-24,14.5,14.6252,13.9376,14.25,10845600
2000-02-25,14.25,14.75,13.9376,14.1252,13180800
2000-02-28,14.1252,15,14.1252,15,24096000
2000-02-29,15.1252,16.25,15.1252,15.9376,26546400
2000-03-01,16.1876,16.6252,15.6252,16.5,27174400
2000-03-02,16.5624,17.3124,16.5,16.75,15819200
2000-03-03,16.25,17.25,15.5624,16.9376,11916000
2000-03-06,16.75,16.75,16.1252,16.3752,7564000
2000-03-07,16.25,16.3124,15.5,15.6252,8252000
2000-03-08,15,15.75,14.8124,15.75,17496800
2000-03-09,15.5,15.6876,15.25,15.6252,25407200
2000-03-10,15.3124,15.5,15.1876,15.25,16752800
2000-03-13,15.1252,15.1252,14.5,15,18860000
2000-03-14,14.9376,15.3752,14.75,15.1252,15794400
2000-03-15,14.8752,17.1876,14.75,17,27708800
2000-03-16,17.75,21,17.5624,20,50528800
2000-03-17,20.1252,20.1876,19,19,31469600
2000-03-20,19.25,19.75,19,19.6876,13784800
2000-03-21,19.9376,20.25,19.6876,20,29170400
2000-03-22,19.9376,20,19.5,19.9376,20886400
2000-03-23,19.9376,20,19.5624,19.9376,12995200
2000-03-24,20,20.9376,19.8752,20.8752,19417600
2000-03-27,20.6876,21.0624,20.5,20.6876,18944000
2000-03-28,20.9376,22.4376,20.8124,21.0624,20237600
2000-03-29,21.25,21.3752,20.6252,21.1252,21820800
2000-03-30,21.0624,24,21.0624,22.9376,36228800
2000-03-31,23.1252,24.5624,22.1252,22.1876,44549600
2000-04-03,22.5,24,22.5,23.8124,18180000
2000-04-04,23.8124,24.4376,22.25,23.3124,21895200
2000-04-05,23.5624,23.8752,23.0624,23.6876,9172000
2000-04-06,23.6252,23.6876,22.5,23,29628000
2000-04-07,23,23.5624,22.5624,22.8752,18076800
2000-04-10,22.5624,22.6252,22,22.1876,22452000
2000-04-11,22,22.1252,21.3124,21.75,20360800
2000-04-12,21.75,22.3124,21.5624,21.5624,18223200
2000-04-13,21.8124,22.1252,21.0624,21.0624,26545600
2000-04-14,21,21.0624,19.3752,19.75,21734400
2000-04-17,20,20.1876,19.8124,20,16349600
2000-04-18,20,20.3752,19.8752,20.1252,9162400
2000-04-19,20.3752,20.6876,20.1876,20.4376,7352800
2000-04-20,20.6252,20.6876,20.3124,20.5,11044000
2000-04-24,20.25,20.6876,20.1876,20.4376,11687200
2000-04-25,20.1876,20.3124,19.75,19.8124,21580800
2000-04-26,19.9376,20,18.4376,18.5624,20153600
2000-04-27,18,18.4376,17.3752,18,18437600
