Date,Open,High,Low,Close,Volume
2000-01-03,44.1252,44.1252,42.9376,43.0624,4101200
2000-01-04,43.0624,43.3752,42.6252,43,4865200
2000-01-05,43,43.75,42.9376,43,3579600
2000-01-06,43,46,43,45.6252,6216000
2000-01-07,45.6252,45.6876,44.6252,45.3124,3256000
2000-01-10,46.3752,46.75,45.5,46.3752,4311600
2000-01-11,46.25,47.1876,46.25,46.75,2384000
2000-01-12,46.5,46.8124,45.6252,45.8124,2298800
2000-01-13,45.8124,47.6252,45.3752,46.6252,3092400
2000-01-14,46.75,46.9376,45.6876,46.0624,2435600
2000-01-18,45.5624,45.8752,44.25,44.3752,2967600
2000-01-19,43.1252,43.6876,42.25,43.6252,5771600
2000-01-20,44.25,44.8124,40.8752,42,8070800
2000-01-21,42.5624,44.1876,42.5,43.75,5105200
2000-01-24,43.8124,44.25,42.3752,42.4376,3004000
2000-01-25,42.4376,42.6876,40,40.9376,5056800
2000-01-26,41,41.8124,39.9376,41.8124,3849200
2000-01-27,42,42,40.0624,40.25,3670400
2000-01-28,40.3124,41.3124,39.75,40.6252,3590400
2000-01-31,40.6252,41.1252,39.8124,40.25,3682400
2000-02-01,40,40.3752,39.5,40.3124,2813200
2000-02-02,40.1252,40.25,38.6252,38.75,4220400
2000-02-03,39.25,39.5624,39,39.3124,3600800
2000-02-04,39.75,40.8752,39.6876,40.3124,4637200
2000-02-07,40.25,40.5,39.5,39.6876,2911200
2000-02-08,39.9376,40,38.6252,38.75,3675200
2000-02-09,39.25,40.6252,38.8124,38.9376,4865600
2000-02-10,38.9376,38.9376,35.8752,37.0624,8339600
2000-02-11,37.1252,37.3752,36.6252,36.75,3565600
2000-02-14,37.25,38,36.8752,38,4377600
2000-02-15,38.5,38.8124,37.75,38.8124,7250800
2000-02-16,39,39.3752,37,37.3752,5134400
2000-02-17,37.5,38,36.75,37.8752,3093600
2000-02-18,38,38.25,37.4376,37.75,3406800
2000-02-22,37.9376,39.3752,37.8752,38.8124,3113200
2000-02-23,38.8124,39.4376,38.75,39.3124,4042800
2000-02-24,39.5,39.5624,36.25,37.25,7104800
2000-02-25,37.25,37.5,36.5624,37.4376,3038000
2000-02-28,37.4376,38.75,36.8124,38.5,3203200
2000-02-29,38.4376,38.8124,37.9376,38,3417200
2000-03-01,38.1252,38.6252,38,38.25,6612000
2000-03-02,38.1876,38.1876,37.3752,37.8124,3593200
2000-03-03,37.75,40,37.5624,39.3752,5631600
2000-03-06,39.1252,39.1252,37.3124,37.75,3090000
2000-03-07,37.25,37.5,35.6876,36,5256400
2000-03-08,36.5,37.0624,36.25,36.3124,4718000
2000-03-09,36.5,36.5,34.5624,35.9376,6275600
2000-03-10,35.6876,36.25,34.8752,35.0624,6513200
2000-03-13,34.9376,35.25,34.25,35.25,3582000
2000-03-14,35.5,35.5,34.8752,35.25,3457200
2000-03-15,35.1252,37.3752,35.1252,37.3752,3905200
2000-03-16,37.8124,39.8124,37.1876,39.8124,7003200
2000-03-17,40,40.6252,39.75,40.25,4546800
2000-03-20,40.4376,40.6876,37.6876,38.25,4032400
2000-03-21,37.75,40.1252,37.75,40,4837600
2000-03-22,40.25,40.4376,38.3124,38.6252,3949600
2000-03-23,38,38.75,37.6252,38.6876,2982000
2000-03-24,38.5624,38.8752,37.75,38.1252,2878000
2000-03-27,38,38.8752,38,38.6876,2232800
2000-03-28,38.3752,38.6876,37,37.1876,3300400
2000-03-29,37.1876,37.8752,37,37.8752,3122400
2000-03-30,38,38,37,37.1876,2840400
2000-03-31,37.4376,39.1252,37.25,39.1252,3893200
2000-04-03,39.1252,39.1252,38.6252,38.75,4480000
2000-04-04,38.8752,39.3124,37.5624,38.6876,3644400
2000-04-05,38.75,41,38.6876,41,4744800
2000-04-06,41,42.3752,40.8752,41.25,5835600
2000-04-07,41.1252,41.1252,39.6876,40.75,3235600
2000-04-10,40.5,42.3124,40.4376,41.6252,3093200
2000-04-11,41.6252,43.25,41.6252,43.1252,3586800
2000-04-12,43.1252,44.0624,42.4376,43.8124,5521600
2000-04-13,43.6876,43.75,42.0624,42.8124,3427200
2000-04-14,42.6876,42.6876,40.75,41.0624,3517600
2000-04-17,41.0624,41.6252,39.8124,39.8124,4448000
2000-04-18,39.8752,40.6252,39.8124,40.5,2484800
2000-04-19,40.75,41.5624,40,40.3124,3087600
2000-04-20,40.6252,41.3124,40.0624,41.3124,3432000
2000-04-24,41.25,42.8752,41.25,42.0624,2635200
2000-04-25,42,44.8752,42,43.8124,5768000
2000-04-26,45.1252,46.3124,44.8124,45.4376,6341600
2000-04-27,45,45.25,42.75,42.8752,4370800
2000-04-28,43.1876,43.1876,41.25,42.1252,3790800
2000-05-01,41.8752,43.3752,41.6876,42.9376,4576400
2000-05-02,42.3752,42.8752,41.3124,41.75,3259600
2000-05-03,41.25,42.5624,40.8124,41.5,2203200
2000-05-04,41.75,41.75,40.5624,40.5624,2612800
2000-05-05,40.6252,42.5,40.6252,42.3124,1982400
2000-05-08,42.0624,42.6252,42,42.6252,1576400
2000-05-09,42.6252,44,42.5624,43.4376,2952400
2000-05-10,43.1876,43.8124,42.5624,42.8752,1645600
2000-05-11,43.25,43.5624,42.5624,43.0624,1475600
2000-05-12,43.6252,43.8124,43.0624,43.7188,2759200
2000-05-15,43.75,44.1876,43.5,43.75,1927200
2000-05-16,43.75,44.8752,43.6252,44.6876,2038800
2000-05-17,44.6252,45.4376,44.3124,44.4376,2173200
2000-05-18,44.4376,45.4376,44.3752,45,2245600
2000-05-19,44.75,45.5624,44.0624,45.3752,2994800
2000-05-22,45.1252,45.5,44.1252,44.3124,3488800
2000-05-23,44.5,45.25,44.3124,45.1876,1790400
2000-05-24,45.1876,45.9376,44.9376,45.0624,2578800
2000-05-25,44.1876,44.5624,43,43.6252,3155600
2000-05-26,42.75,43.1252,42.1876,42.8124,3062400
2000-05-30,43.3752,43.8752,43.1876,43.3752,2183200
2000-05-31,43.6252,43.6252,42.3124,42.5,2518800
2000-06-01,42.3124,43.5,42.3124,43.3752,2985200
2000-06-02,43.5,45.75,43.3436,45,2463600
2000-06-05,44.8752,44.8752,42.8752,43.3752,2418400
2000-06-06,42.9376,43.1252,41.75,42.4376,2684000
2000-06-07,42.75,43.3124,42.6876,43,2495600
2000-06-08,42.8752,43,41.5,41.75,1821200
2000-06-09,41.75,42.3752,41.6876,41.9376,1930000
2000-06-12,41.9376,42.75,41.9376,42.6252,2119200
2000-06-13,42.3752,42.9376,41.9376,42.0624,2929200
2000-06-14,42.0624,42.0624,40.5,40.75,2192400
2000-06-15,40.75,41.4376,40,40.1876,4430800
2000-06-16,40.25,40.5624,39.4376,39.6252,3098000
2000-06-19,39.75,40.1876,39,39.25,2407600
2000-06-20,39.3124,39.5624,39.1252,39.1876,2381200
2000-06-21,39.25,39.9376,39.1252,39.4376,4770400
