Date,Open,High,Low,Close,Volume
2000-01-03,68.3751,69,65.4999,66.8124,25109700
2000-01-04,65.4999,65.8125,64.1874,64.3125,20235300
2000-01-05,63.8751,64.3749,62.1876,63,21056100
2000-01-06,63,64.5624,62.6874,63.6876,19633500
2000-01-07,64.5,68.9376,64.5,68.4999,23930700
2000-01-10,67.2501,67.5,65.625,67.2501,20142900
2000-01-11,67.0626,67.7499,65.625,66.2499,14829900
2000-01-12,66.1875,66.75,65.0625,65.0625,12255000
2000-01-13,66,66.1251,65.0001,65.1249,15063000
2000-01-14,63.9999,65.9376,63.9999,64.5,18936600
2000-01-18,63.1875,66.4374,63.0624,65.5626,19326600
2000-01-19,65.25,65.8125,63.9999,64.0626,14459700
2000-01-20,64.4376,64.5,62.4999,63.375,17214300
2000-01-21,63.9375,63.9375,62.0625,62.4375,20857500
2000-01-24,63.4374,63.4374,57.5001,59.3751,23399700
2000-01-25,59.8125,61.1874,59.4999,61.125,19211400
2000-01-26,61.125,62.0625,60,61.9374,13615200
2000-01-27,61.3125,61.5,57.8751,59.1249,21969900
2000-01-28,58.875,58.875,53.4999,55.125,42088200
2000-01-31,54.5625,55.5,54.1251,54.75,23918100
2000-02-01,54.9999,59.4999,54.9375,58.6875,25077000
2000-02-02,58.875,60.1251,57.9375,58.3749,18103800
2000-02-03,58.3749,58.8126,56.25,58.3749,20997000
2000-02-04,57.9375,57.9375,56.0001,56.3124,19649100
2000-02-07,56.625,56.625,54.6249,55.7499,18131100
2000-02-08,57.3126,59.6874,56.8749,59.4999,25728300
2000-02-09,60,60.1251,57.3126,57.8124,24649800
2000-02-10,57.6249,58.3749,56.8125,57,13774800
2000-02-11,57.4374,57.5001,55.6251,56.0625,14450100
2000-02-14,56.6874,58.875,56.4999,58.875,17410800
2000-02-15,56.9376,57.9999,54.9999,57.9999,29136300
2000-02-16,56.4999,56.4999,52.6875,52.7499,40757400
2000-02-17,52.9374,53.4999,48,48.375,74300100
2000-02-18,48.5001,49.5,47.25,47.7501,58183200
2000-02-22,49.2501,49.3125,46.7499,48.1251,37027800
2000-02-23,48.4374,48.5001,46.7499,47.0001,38623200
2000-02-24,47.0001,47.8749,43.4376,47.8749,58295700
2000-02-25,44.3124,45.3126,43.6251,44.4999,50725500
2000-02-28,44.5626,46.9374,44.5626,46.1874,53508300
2000-02-29,47.9376,49.7499,47.9376,48.75,51591600
2000-03-01,49.875,50.0001,47.4999,48.9999,30497400
2000-03-02,52.7499,52.875,50.4375,50.5626,46628100
2000-03-03,52.125,53.3124,51.5001,52.6251,32372400
2000-03-06,52.6251,52.6875,48.6249,50.4999,31480800
2000-03-07,49.6251,49.6251,47.1249,47.5626,29174100
2000-03-08,47.3124,49.3125,45.6249,48.3126,30056100
2000-03-09,48.9999,49.4376,46.875,48.9375,23834700
2000-03-10,49.7499,49.7499,47.4375,47.9376,21016500
2000-03-13,46.2501,47.9376,45.8751,47.6874,23183700
2000-03-14,47.0001,48.8124,46.3125,47.7501,29955000
2000-03-15,47.4375,51.9375,46.5624,51.5001,44010000
2000-03-16,52.3125,55.5624,51.6249,54.6249,59148000
2000-03-17,54.5625,56.25,54.1251,55.7499,37911900
2000-03-20,55.8126,55.8126,53.3751,55.125,20307300
2000-03-21,55.4376,56.625,54.5001,56.625,23563800
2000-03-22,56.4999,56.4999,54,55.3749,29890500
2000-03-23,54.375,54.5625,53.4999,54,21076500
2000-03-24,54.4374,55.6875,54,55.5,23858700
2000-03-27,54.6876,55.5,54.2499,55.4376,17324700
2000-03-28,54.5625,55.9374,54.5001,54.5001,17392800
2000-03-29,55.5,59.3751,55.4376,58.7499,40790100
2000-03-30,59.7501,60.75,58.875,59.0001,34712400
2000-03-31,59.25,59.3124,55.5,56.4999,27162000
2000-04-03,56.625,62.0001,56.625,61.1874,35807100
2000-04-04,61.6875,63.3126,57.5001,60,41027400
2000-04-05,59.3124,60.1251,57.5625,58.2501,21198000
2000-04-06,59.1249,61.2501,58.7499,61.125,21762600
2000-04-07,61.2501,62.0001,60.6249,61.5,12039300
2000-04-10,61.5,63.6876,60.9999,63.5625,16563000
2000-04-11,62.8749,63.5001,61.5,63.375,16066200
2000-04-12,63.4374,64.9374,62.0625,62.4375,21729900
2000-04-13,62.3124,62.3124,59.4999,60.0624,23653500
2000-04-14,57.9999,58.9374,54.9999,54.9999,28118100
2000-04-17,55.125,56.3751,51.75,54,28981500
2000-04-18,54,56.3124,53.1249,53.8749,22983600
2000-04-19,54.1251,55.5,53.7501,54.9375,18765900
2000-04-20,55.125,57.9375,55.125,57.6876,18271200
2000-04-24,57.9375,60.6249,57.5001,58.875,16901100
2000-04-25,58.0626,60.75,57.5625,59.6874,18114900
2000-04-26,60.1875,60.75,58.3125,58.7499,15606000
2000-04-27,57.6249,58.4376,56.4999,57.6876,16545000
2000-04-28,56.8125,57.3126,55.3749,55.3749,15037800
2000-05-01,56.3751,58.8126,56.1876,57.9375,15327000
2000-05-02,57.3126,57.8124,56.6874,57.6249,14464500
2000-05-03,54.2499,54.5001,52.7499,53.4375,31371900
2000-05-04,53.9376,53.9376,50.4375,51,32300700
2000-05-05,50.1876,52.875,50.1876,51.3126,25920000
2000-05-08,51.2499,52.3749,49.5,52.3749,22878300
2000-05-09,54.375,54.8751,52.5,53.0001,26664600
2000-05-10,53.4375,57.1251,53.0001,56.6874,33735900
2000-05-11,56.9376,57.0624,54.9999,56.0001,18315900
2000-05-12,55.7499,57.1875,55.3125,56.8125,13113000
2000-05-15,56.25,57.3126,55.5,57,12816900
2000-05-16,57.4374,59.0625,57.1875,57.9999,19136100
2000-05-17,56.6874,56.7501,55.4376,56.3751,13776900
2000-05-18,56.25,57.9375,56.1876,57.9375,14663700
2000-05-19,56.1249,58.7499,56.1249,57.0624,19073100
2000-05-22,57.6876,57.6876,56.1876,57.375,13884300
2000-05-23,57.5625,58.3749,56.8125,57.1875,12873000
2000-05-24,55.2501,57,52.7499,56.8749,31024500
2000-05-25,55.8126,56.6874,54.0624,54.9999,13857600
2000-05-26,54.2499,54.9999,53.1249,54,11989200
2000-05-30,53.0625,54.1251,52.6875,53.3751,13058100
2000-05-31,54.8751,60,54.5001,57.6249,22976700
2000-06-01,57.1251,57.6876,56.25,57,14359200
2000-06-02,58.875,60.0624,58.0626,59.0625,21264300
2000-06-05,59.3124,59.7501,58.7499,59.3124,13081200
2000-06-06,58.8126,58.8126,57.75,58.2501,13320300
2000-06-07,57.75,59.0625,57.75,57.8751,10273800
2000-06-08,57.8124,57.9999,56.3124,56.8749,11979300
2000-06-09,57.4374,57.9999,53.9376,54,21849300
2000-06-12,54,54.375,51.8124,52.7499,24267600
2000-06-13,52.0626,54.9999,51.6249,54.9999,23135100
2000-06-14,54.9375,55.6875,54.1251,55.125,20060400
2000-06-15,55.0626,56.1876,54.8124,55.5,17046900
2000-06-16,54.75,56.1249,53.25,53.8749,28709100
2000-06-19,53.6874,54.9999,52.8126,54.375,18005100
2000-06-20,54.2499,54.6876,53.1249,54.5001,18191400
2000-06-21,54.5625,54.5625,53.3751,53.9376,12861900
2000-06-22,53.0625,53.4375,51.8751,52.5,17003400
2000-06-23,53.6874,54.4374,52.875,53.7501,18808800
2000-06-26,54.1875,54.6876,53.7501,53.7501,11774100
2000-06-27,54.1251,57.4374,53.7501,56.8125,19663200
2000-06-28,56.4999,57.1875,55.6875,55.9845,14472300
2000-06-29,55.3125,55.3749,53.5626,54.1251,15872700
2000-06-30,54.1251,57.7344,54.0624,57.6249,22866600
2000-07-03,57.2499,57.375,56.1249,56.8749,7731900
2000-07-05,57.3126,57.9375,56.5626,57,15419400
2000-07-06,57.9375,58.4376,56.8125,57.5001,17273400
2000-07-07,57.9375,62.0625,57.3126,61.5624,31540200
2000-07-10,61.3749,62.9376,60.6876,61.2501,24701100
2000-07-11,61.0626,62.7501,60.8124,62.0001,17692800
2000-07-12,62.0625,62.1876,60.6249,60.9999,17500800
2000-07-13,60.5001,61.1874,59.1249,59.1249,12907800
2000-07-14,59.8125,60.9375,59.3751,59.4999,12552300
2000-07-17,60.3126,61.2501,59.625,60.7188,13832100
2000-07-18,60.9375,61.125,59.7501,60.0624,10776300
2000-07-19,60.1875,60.5001,59.3751,60,11209200
2000-07-20,59.9376,60.8124,59.5626,60,14960400
2000-07-21,60.3126,60.5001,59.25,59.6874,11733000
2000-07-24,59.0001,59.1876,57.1875,57.4374,15137400
2000-07-25,57.5001,59.3124,57.3126,59.1876,12366000
2000-07-26,58.1874,60.1251,58.1874,58.7499,21966300
2000-07-27,59.3751,60.3126,59.0001,60.0624,14234400
2000-07-28,59.8125,59.9376,57.2499,58.6875,15742800
2000-07-31,58.875,58.875,54.2499,55.2501,22602900
2000-08-01,54,54.9375,53.0001,54.5001,27165900
2000-08-02,54.5001,55.0626,53.8125,54.0624,20204400
2000-08-03,56.4999,56.4999,53.4375,53.8749,24687300
2000-08-04,54.0624,54.0624,52.7499,52.9374,17527200
2000-08-07,53.1249,55.9374,53.0001,55.125,16815600
2000-08-08,56.4375,57.6249,55.0626,57.6249,17579400
2000-08-09,54.0624,54.75,52.9374,53.625,53252100
2000-08-10,53.1249,53.25,50.6874,51,37141800
2000-08-11,51.4374,52.3749,51.1251,52.125,22602300
2000-08-14,52.2501,53.0625,52.125,52.875,18098400
2000-08-15,51.8751,52.5624,51.2499,51.5625,23859000
2000-08-16,50.7501,50.8749,48.75,49.9374,41433000
2000-08-17,49.5624,50.4375,48.6249,50.0001,20399400
2000-08-18,49.6875,50.8749,49.5624,50.8749,22047900
2000-08-21,49.2501,49.7499,47.1249,48.9999,42446100
2000-08-22,48.9999,50.0001,48.5625,49.125,22832700
2000-08-23,49.7499,50.1876,49.0626,49.125,20627100
2000-08-24,49.7499,50.1249,48.9999,49.4376,14901900
2000-08-25,49.6251,50.4999,49.2501,50.4999,14631300
2000-08-28,50.0625,50.625,48.6249,49.5,21009600
2000-08-29,49.5,49.9374,48.8751,49.4376,16995300
2000-08-30,48.8751,48.9999,48,48.4374,24466500
2000-08-31,48.3126,48.75,47.1249,47.625,36708600
2000-09-01,47.5626,49.125,47.3751,48.75,22984500
2000-09-05,48.9375,50.1876,48.8124,49.7499,24093000
2000-09-06,50.25,51.1251,49.875,50.0001,24931200
2000-09-07,51.1875,52.0626,50.4999,51,25201800
2000-09-08,51.5001,52.6251,51,52.125,22141800
2000-09-11,52.7499,54.75,52.6875,54.375,29533800
2000-09-12,53.5626,54.6249,52.9374,54,19053300
2000-09-13,54.2499,54.4374,53.0001,53.8749,14944800
2000-09-14,53.625,53.625,51.8751,52.5,14134800
2000-09-15,52.3125,52.9374,51.4374,51.9999,24327300
2000-09-18,51,52.6875,50.625,51.1251,15634800
2000-09-19,50.625,50.8749,49.2501,49.875,25721100
2000-09-20,49.9374,50.0001,48.0624,48.5001,29648100
2000-09-21,48.6876,51.375,48.6249,50.0001,25936500
2000-09-22,51.9375,51.9375,49.5624,50.4999,20178900
2000-09-25,50.625,50.6874,48.9375,48.9999,16398000
2000-09-26,49.4376,49.4376,46.875,47.3751,28227300
2000-09-27,47.625,48.375,47.1249,48.1251,22748400
2000-09-28,48.4374,49.875,48,48.5625,24413400
2000-09-29,48.5001,49.5,48,48.1251,22598700
2000-10-02,48.1875,48.6249,45.4374,46.2501,33523800
2000-10-03,46.1874,46.3749,44.1249,45.8124,49645200
2000-10-04,45.6876,47.8749,45.5001,46.125,33255600
2000-10-05,46.3749,46.7499,45.75,46.0626,26197500
2000-10-06,45.8751,45.8751,44.625,45.5001,33481500
2000-10-09,45.6876,46.4376,45.1251,45.1251,18101400
2000-10-10,45.9375,46.6875,45.375,46.3749,20049600
2000-10-11,46.125,46.3749,44.8749,45.3126,25172700
2000-10-12,42,44.6874,41.4375,44.1249,58319700
2000-10-13,43.6251,45.1251,43.6251,45,28074600
2000-10-16,45.2499,47.6874,45.1875,47.3124,21294900
2000-10-17,47.5626,47.9376,45.6876,45.9999,18806700
2000-10-18,45.9375,47.0001,44.8749,46.7499,18445200
2000-10-19,46.5624,47.9376,46.125,47.8125,18908700
2000-10-20,46.875,47.3124,46.0626,46.5624,21459600
2000-10-23,46.5624,47.8125,45.5625,47.3124,18093900
2000-10-24,47.5626,48.5001,47.25,48.375,17741400
2000-10-25,48.4374,48.4374,45.6249,45.9375,25172100
2000-10-26,45.8751,45.9375,43.3749,43.4376,44886300
2000-10-27,43.4376,44.1249,43.2501,43.2501,37664400
2000-10-30,43.3749,43.9374,43.125,43.7499,39616800
2000-10-31,44.1876,45.8124,44.0001,45.375,44089800
2000-11-01,46.5,48.0624,46.125,46.6875,69816600
2000-11-02,45.9999,50.0001,45.5001,48.4374,62551500
2000-11-03,48.4374,49.125,46.8126,47.3751,24775500
2000-11-06,48.3126,49.3749,47.0625,48.9999,21829500
2000-11-07,48.9999,50.0001,48,48.9375,21412500
2000-11-08,48.9999,50.8749,48.6249,48.75,22868700
2000-11-09,48.0624,48.1251,46.1874,47.1249,24182400
2000-11-10,45,45,43.1874,43.6875,44743800
2000-11-13,42.9999,45.4374,42.5625,45.3126,32979000
2000-11-14,47.25,48.4374,46.7499,46.875,25599600
2000-11-15,46.6251,49.3749,46.3749,48.9999,25938600
2000-11-16,48.75,49.1874,48.1251,48.2499,16589100
2000-11-17,48.5001,49.5624,47.625,48.5625,18420600
2000-11-20,48.6249,48.6249,47.5626,47.8749,13137300
2000-11-21,48.1251,48.5001,46.5,47.1249,13167000
2000-11-22,47.1876,47.3124,45.8751,45.8751,14837700
2000-11-24,45.9375,46.1874,44.6874,45.1875,10447500
2000-11-27,46.9374,49.8126,46.875,49.3125,31951200
2000-11-28,48.75,50.8749,48.0624,48.9999,29361300
2000-11-29,49.2501,51.8751,49.1874,51.8751,29709000
2000-11-30,51.5001,52.1874,50.3751,52.1874,34821300
2000-12-01,52.6251,52.7499,50.6874,51.1875,32171100
2000-12-04,50.9376,53.8125,50.3751,53.8125,40212300
2000-12-05,53.8125,55.3125,53.25,55.2501,31141800
2000-12-06,54.6249,55.875,53.3124,54.8124,32109300
2000-12-07,55.0626,55.9374,54.5625,54.9999,22938600
